text,label
髒亂,2
糟報,2
早衰,2
責備,2
賊眼,2
戰禍,2
招災,2
折辱,2
中山狼,2
清峻,0
清瑩,1
輕倩,1
晴麗,1
求索,1
熱潮,1
仁政,1
榮名,1
柔膩,1
瑞雪,1
擅名,1
神采,1
省便,1
盛開,1
盛譽,1
詩仙,1
爽脆,1
素潔,1
譸張,2
株連,2
墜毀,2
滋生,2
自恃,2
走後門,2
阻力,2
罪狀,2
做戲,2
甜頭,1
頭名,1
婉妙,1
溫淑,1
穩厚,1
沃壤,1
無上,1
喜人,1
先賢,1
鮮妍,1
相稱,1
驍騎,1
新巧,1
新意,1
信奉,1
急智,1
技藝,1
雄勁,1
雄肆,1
秀俊,1
煦煦,1
勳績,1
雅淡,1
雅興,1
嚴整,1
泱泱,1
怡悅,1
義診,1
英發,1
英偉,1
瑩潤,1
勇健,1
優厚,1
幽雅,1
有識,1
友鄰,1
玉人,1
元勳,1
佳句,1
佳趣,1
兼愛,1
堅守,1
簡雅,1
薦舉,1
見稱,1
見聞,1
獎旗,1
獎許,1
姣麗,1
嬌麗,1
驕子,1
解惑,1
津要,1
金嗓子,1
勻淨,1
讚詞,1
真純,1
箴言,1
珍玩,1
正理,1
指導,1
至理,1
致敬,1
智多星,1
忠魂,1
主力軍,1
準繩,1
卓特,1
進益,1
奏凱,1
尊服,1
盡瘁,1
精白,1
精潔,1
精妙,1
精髓,1
精要,1
晶潔,1
景觀,1
敬信,1
救亡,1
據實,1
眷懷,1
哀鴻遍野,2
骯裡骯髒,2
冰炭不相容,0
英姿颯爽,1
有禮,1
易如反掌,1
為人正直,1
心地純良,1
不成話,2
昭然若揭,2
有口無心,2
有眼力,1
不乾不淨,2
異彩紛呈,1
學富五車,1
心靈美,1
香馥馥,1
味道好,1
手腳不乾淨,2
索然寡味,2
死板板,2
鬆垮垮,2
危在旦夕,2
無紀律,2
無實質,2
險峭,2
不明不白,2
不清不白,2
不透明,2
不雅,2
不足為外人道,2
有勇氣,1
玄妙,2
長長短短,0
罪惡多端,2
皺巴,2
朝不謀夕,0
逞性子,2
臭名昭彰,2
寸草不生,0
哀梨蒸食,2
刀光劍影,0
度量小,2
翻雲覆雨,2
風刀霜劍,0
腐化墮落,2
高不成低不就,2
孤單單,2
寡斷,2
乖剌,2
含糊不清,2
毫不客氣,2
黑森森,0
鬍子拉碴,2
荒誕派,2
荒淫無度,2
灰濛濛,0
智慧型,1
晦暝,2
諄諄,1
昏黑,2
錚亮,1
鸞鳳和鳴,1
板臉,0
抱疚,2
憋著一肚子氣,2
愁慘,2
錯愕,2
掉魂,2
發牢騷,2
煩神,2
忿忿不平,2
惶然不安,2
急死,2
介意,0
舉棋不定,0
口誅筆伐,2
拉不下臉來,0
罵得狗血噴頭,2
怒火沖天,0
氣憤憤,0
歉然,0
人身攻擊,2
數落,0
痛責,0
下不了臺,0
杏眼圓睜,1
訝然失色,0
怔神兒,0
追悔莫及,0
彷徨,0
愛上,0
